S;CN_Price;Imp_Price
52.200000;38.283742;42.310070
52.500000;37.983742;41.978519
52.800000;37.683742;41.646968
53.100000;37.383742;41.315416
53.400000;37.083742;40.983865
53.700000;36.783742;40.652314
54.000000;36.483742;40.320763
54.300000;36.183742;39.989211
54.600000;35.883742;39.657660
54.900000;35.583742;39.326109
55.200000;35.283742;38.994558
55.500000;34.983743;38.663007
55.800000;34.683743;38.331456
56.100000;34.383743;37.999906
56.400000;34.083744;37.668355
56.700000;33.783744;37.336805
57.000000;33.483745;37.005254
57.300000;33.183746;36.673705
57.600000;32.883747;36.342155
57.900000;32.583748;36.010606
58.200000;32.283750;35.679058
58.500000;31.983752;35.347511
58.800000;31.683755;35.015963
59.100000;31.383759;34.684418
59.400000;31.083763;34.352874
59.700000;30.783769;34.021331
60.000000;30.483775;33.689788
60.300000;30.183784;33.358252
60.600000;29.883795;33.026716
60.900000;29.583807;32.695180
61.200000;29.283823;32.363653
61.500000;28.983843;32.032132
61.800000;28.683866;31.700610
62.100000;28.383894;31.369091
62.400000;28.083929;31.037596
62.700000;27.783970;30.706102
63.000000;27.484020;30.374608
63.300000;27.184080;30.043135
63.600000;26.884151;29.711690
63.900000;26.584236;29.380245
64.200000;26.284337;29.048799
64.500000;25.984457;28.717421
64.800000;25.684598;28.386062
65.100000;25.384764;28.054703
65.400000;25.084959;27.723350
65.700000;24.785188;27.392139
66.000000;24.485455;27.060929
66.300000;24.185767;26.729719
66.600000;23.886129;26.398567
66.900000;23.586549;26.067607
67.200000;23.287034;25.736646
67.500000;22.987594;25.405686
67.800000;22.688239;25.074872
68.100000;22.388978;24.744320
68.400000;22.089826;24.413768
68.700000;21.790794;24.083216
69.000000;21.491898;23.752936
69.300000;21.193153;23.423034
69.600000;20.894578;23.093132
69.900000;20.596191;22.763230
70.200000;20.298013;22.433740
70.500000;20.000067;22.104844
70.800000;19.702378;21.775949
71.100000;19.404972;21.447054
71.400000;19.107878;21.118660
71.700000;18.811126;20.791283
72.000000;18.514750;20.463905
72.300000;18.218785;20.136528
72.600000;17.923268;19.809551
72.900000;17.628239;19.484400
73.200000;17.333742;19.159248
73.500000;17.039821;18.834097
73.800000;16.746525;18.508946
74.100000;16.453903;18.186831
74.400000;16.162008;17.864854
74.700000;15.870897;17.542876
75.000000;15.580627;17.220899
75.300000;15.291260;16.901826
75.600000;15.002858;16.584248
75.900000;14.715489;16.266670
76.200000;14.429221;15.949092
76.500000;14.144125;15.633225
76.800000;13.860274;15.321572
77.100000;13.577744;15.009919
77.400000;13.296613;14.698266
77.700000;13.016961;14.386613
78.000000;12.738870;14.081480
78.300000;12.462423;13.777581
78.600000;12.187705;13.473682
78.900000;11.914803;13.169782
79.200000;11.643805;12.868991
79.500000;11.374799;12.574945
79.800000;11.107875;12.280900
80.100000;10.843124;11.986854
80.400000;10.580634;11.692809
80.700000;10.320498;11.407407
81.000000;10.062806;11.125521
81.300000;9.807647;10.843635
81.600000;9.555111;10.561749
81.900000;9.305287;10.280240
82.200000;9.058262;10.012921
82.500000;8.814123;9.745602
82.800000;8.572954;9.478283
83.100000;8.334837;9.210964
83.400000;8.099854;8.948032
83.700000;7.868081;8.697650
84.000000;7.639595;8.447267
84.300000;7.414469;8.196885
84.600000;7.192772;7.946503
84.900000;6.974570;7.703937
85.200000;6.759928;7.472664
85.500000;6.548904;7.241392
85.800000;6.341553;7.010119
86.100000;6.137929;6.778847
86.400000;5.938077;6.557496
86.700000;5.742043;6.347144
87.000000;5.549865;6.136793
87.300000;5.361579;5.926441
87.600000;5.177213;5.716089
87.900000;4.996795;5.515811
88.200000;4.820346;5.327679
88.500000;4.647882;5.139547
88.800000;4.479416;4.951415
89.100000;4.314954;4.763284
89.400000;4.154500;4.583046
89.700000;3.998053;4.417808
90.000000;3.845605;4.252570
90.300000;3.697147;4.087332
90.600000;3.552664;3.922094
90.900000;3.412136;3.760221
91.200000;3.275540;3.617865
91.500000;3.142849;3.475509
91.800000;3.014031;3.333153
92.100000;2.889052;3.190797
92.400000;2.767872;3.048442
92.700000;2.650451;2.925131
93.000000;2.536741;2.804959
93.300000;2.426695;2.684787
93.600000;2.320260;2.564616
93.900000;2.217384;2.444444
94.200000;2.118008;2.334237
94.500000;2.022073;2.234929
94.800000;1.929519;2.135621
95.100000;1.840280;2.036313
95.400000;1.754292;1.937006
95.700000;1.671487;1.837750
96.000000;1.591797;1.757476
96.300000;1.515151;1.677203
96.600000;1.441479;1.596930
96.900000;1.370709;1.516657
97.200000;1.302768;1.436384
97.500000;1.237581;1.363393
97.800000;1.175077;1.299968
98.100000;1.115180;1.236543
98.400000;1.057816;1.173118
98.700000;1.002911;1.109693
99.000000;0.950391;1.046268
99.300000;0.900182;0.993904
99.600000;0.852211;0.944948
99.900000;0.806406;0.895992
100.200000;0.762693;0.847036
100.500000;0.721003;0.798080
100.800000;0.681265;0.749124
101.100000;0.643408;0.712200
101.400000;0.607366;0.675303
101.700000;0.573070;0.638406
102.000000;0.540454;0.601508
102.300000;0.509455;0.564611
102.600000;0.480008;0.528985
102.900000;0.452051;0.501841
103.200000;0.425524;0.474698
103.500000;0.400368;0.447554
103.800000;0.376525;0.420411
104.100000;0.353939;0.393267
104.400000;0.332556;0.367353
104.700000;0.312322;0.347868
105.000000;0.293185;0.328383
105.300000;0.275097;0.308899
105.600000;0.258009;0.289414
105.900000;0.241874;0.269930
106.200000;0.226647;0.250950
106.500000;0.212284;0.237304
106.800000;0.198744;0.223659
107.100000;0.185986;0.210014
107.400000;0.173971;0.196369
107.700000;0.162661;0.182724
108.000000;0.152021;0.169079
108.300000;0.142016;0.159353
108.600000;0.132612;0.150032
108.900000;0.123779;0.140711
109.200000;0.115485;0.131390
109.500000;0.107702;0.122069
109.800000;0.100401;0.112748
110.100000;0.093556;0.105350
110.400000;0.087141;0.099140
110.700000;0.081133;0.092930
111.000000;0.075509;0.086720
111.300000;0.070246;0.080510
111.600000;0.065323;0.074299
111.900000;0.060721;0.068568
